new_id,hotel_name,overall_rating,total_n_reviews,hotel_class,rooms,location,service,5star,4star,3star,2star,1star
*232,The St. Clair Hotel - Magnificent Mile,3.8,665,2-star hotel,2.5,4.5,3.7,42%,26%,13%,7%,12%
*233,Hilton Grand Vacations Club Chicago Magnificent Mile,3.9,87,3-star hotel,x,x,x,50%,22%,14%,5%,9%
*234,Chicago Parthenon Hostel,3.8,479,2-star hotel,3,4.8,4.6,42%,28%,16%,5%,9%
*235,Super 8 by Wyndham Chicago IL,3.8,333,2-star hotel,3.5,4.2,4.6,42%,26%,18%,6%,8%
*236,The Congress Plaza Hotel & Convention Center,3.7,5517,3-star hotel,2.5,4.4,3.2,37%,29%,18%,8%,8%
*237,"Motel 6 Elk Grove Village, IL - O'Hare",3.7,1922,2-star hotel,3.2,4,4.4,38%,26%,16%,8%,12%
*238,Best Western At O'Hare,3.7,1394,3-star hotel,2,4.2,2.8,36%,31%,17%,7%,9%
*239,Extended Stay America - Chicago - O'Hare - South,3.7,763,2-star hotel,3,4.2,3.7,40%,27%,16%,6%,11%
*240,Extended Stay America - Chicago - Midway,3.7,676,2-star hotel,2.9,4.4,3.5,44%,18%,14%,9%,15%
*241,Heart O' Chicago,3.7,450,2-star hotel,3.2,4.8,3.7,36%,28%,17%,10%,9%
*242,"Motel 6 Schiller Park, IL - Chicago O'Hare",3.6,2454,2-star hotel,2.8,4.6,4.2,47%,15%,14%,8%,16%
*243,Le Meridien Essex Chicago,3.6,1888,4-star hotel,3.7,4.2,4.2,34%,28%,20%,8%,10%
*244,Best Western Plus O'Hare International South Hotel,3.6,643,2-star hotel,2.8,2.7,3.2,41%,23%,15%,7%,14%
*245,Super 8 by Wyndham Chicago/Rosemont/O'Hare/SE,3.6,562,2-star hotel,2.5,2.8,3.3,37%,24%,19%,7%,13%
*246,Ramada by Wyndham Hammond Hotel & Conference Center,3.6,518,2-star hotel,2.3,3.5,3.9,37%,24%,17%,9%,13%
*247,Rodeway Inn Chicago-Evanston,3.6,245,2-star hotel,2.8,4.1,1.6,42%,22%,14%,7%,15%
*248,New Relax Inn,3.6,154,2-star hotel,3.3,2.7,4.4,42%,20%,15%,7%,16%
*249,McCormick Place Guest House,3.6,108,x,2.7,4.2,2.7,59%,7%,3%,6%,25%
*250,Prestige Inn and suites,3.6,92,x,x,x,x,46%,16%,13%,4%,21%
*251,Selina Chicago,3.5,41,4-star hotel,x,x,x,44%,14%,17%,4%,21%
*252,Plank Road Inn,3.5,141,2-star hotel,3.8,2,x,38%,23%,14%,6%,19%
*253,Rodeway Inn,3.5,461,2-star hotel,1.9,3.8,2.5,37%,21%,17%,8%,17%
*254,Extended Stay America - Chicago - O'Hare,3.5,567,2-star hotel,2.5,4.4,4.2,37%,21%,14%,9%,19%
*255,Quality Inn O'Hare Airport,3.5,1171,2-star hotel,3,4.1,3.5,31%,27%,21%,9%,12%
*256,Edgebrook Hotel,3.4,151,x,1.4,5,1.4,43%,13%,17%,5%,22%
*257,"Days Inn and Suites by Wyndham Hammond, IN",3.4,270,2-star hotel,2,3.3,3.2,36%,21%,14%,8%,21%
*258,Extended Stay America - Chicago - Skokie,3.4,433,2-star hotel,2.5,4.6,3.5,36%,22%,17%,7%,18%
*259,Villa Dubois Guest House,3.3,37,x,3.7,4.1,4.6,53%,5%,2%,5%,35%
*260,Travelodge by Wyndham Downtown Chicago,3.4,"1,859",2-star hotel,1.7,4.2,2.8,24%,32%,21%,10%,13%
*261,WoodSpring Suites Chicago Midway,3.3,119,x,3,4.2,2.7,45%,9%,9%,6%,31%
*262,The Chicago Hotel Collection River North,3.2,75,x,2.8,4.1,3,46%,10%,2%,4%,38%
*263,Red Roof Inn Morton Grove,3.2,185,2-star hotel,x,x,x,40%,13%,10%,9%,28%
*264,Days Inn by Wyndham Calumet Park,3.2,556,2-star hotel,1.8,3.4,2.9,32%,18%,21%,8%,21%
*265,Red Roof Inn Chicago - Alsip,3.1,309,2-star hotel,x,x,x,34%,15%,11%,11%,29%
*266,Super 8 by Wyndham Hammond/North,3.1,326,2-star hotel,1.9,4.2,2.7,25%,19%,20%,15%,21%
*267,Super 8 by Wyndham Morton Grove/Chicago,3.1,414,2-star hotel,2.8,4,1.5,26%,19%,17%,7%,31%
*268,Chinatown Hotel,3.1,560,1-star hotel,2.1,4.4,3.7,24%,20%,22%,7%,27%
*269,M Star Calumet Park,3,119,1-star hotel,x,x,x,23%,16%,23%,12%,26%
*270,O'Hare Inn and Suites,3,704,2-star hotel,1.9,3.8,2.7,19%,20%,21%,15%,25%
*271,Best Western Inn & Suites - Midway Airport,3,733,2-star hotel,1,3.5,3.2,25%,17%,18%,11%,29%
*272,Kings Inn,2.5,64,x,x,x,x,20%,12%,10%,9%,49%
*273,Motel 6,2.7,695,2-star hotel,1,4,3,19%,14%,16%,13%,38%
